rank,night,weekday,next_day_off,p_clear,p_ci,moon_illum,dark_hours,dark_frac,astro_dusk,moonrise,moonset,holiday_w,score,note,eligible
1,2027-01-08,五,True,0.406,0.30-0.53,0.0,10.6,1.0,18:43,-,17:43,1.0,0.406,,True
2,2027-01-09,六,True,0.406,0.30-0.53,0.02,10.59,1.0,18:44,-,18:37,1.0,0.406,,True
3,2027-01-02,六,True,0.406,0.30-0.53,0.25,7.98,0.75,18:39,02:38,-,1.0,0.304,,True
4,2027-02-04,四,True,0.283,0.20-0.39,0.04,10.29,1.0,19:00,05:36,-,1.0,0.283,小年夜,True
5,2027-02-05,五,True,0.283,0.20-0.39,0.01,10.27,1.0,19:00,06:13,-,1.0,0.283,農曆除夕,True
6,2027-02-06,六,True,0.283,0.20-0.39,0.0,10.25,1.0,19:01,-,-,1.0,0.283,春節,True
7,2027-02-07,日,True,0.283,0.20-0.39,0.01,10.24,1.0,19:01,-,18:18,1.0,0.283,春節,True
8,2027-02-08,一,True,0.283,0.20-0.39,0.03,10.07,0.99,19:02,-,19:11,1.0,0.279,春節,True
9,2027-02-03,三,True,0.283,0.20-0.39,0.09,9.91,0.96,18:59,04:54,-,1.0,0.272,,True
10,2027-01-01,五,True,0.406,0.30-0.53,0.34,7.06,0.66,18:39,01:42,-,1.0,0.269,開國紀念日,True
11,2027-02-09,二,True,0.283,0.20-0.39,0.07,9.19,0.9,19:02,-,20:03,1.0,0.255,補假,True
12,2027-01-05,二,False,0.406,0.30-0.53,0.05,10.62,1.0,18:41,05:22,-,0.6,0.243,,True
13,2027-01-06,三,False,0.406,0.30-0.53,0.02,10.61,1.0,18:42,06:11,-,0.6,0.243,,True
14,2027-01-07,四,False,0.406,0.30-0.53,0.0,10.61,1.0,18:42,-,-,0.6,0.243,,True
15,2027-01-10,日,False,0.406,0.30-0.53,0.06,9.82,0.93,18:44,-,19:30,0.6,0.226,,True
16,2027-01-04,一,False,0.406,0.30-0.53,0.1,9.8,0.92,18:41,04:29,-,0.6,0.225,,True
17,2027-01-30,六,True,0.355,0.24-0.48,0.4,6.51,0.63,18:57,01:28,-,1.0,0.223,,True
18,2027-01-15,五,True,0.406,0.30-0.53,0.46,5.4,0.51,18:47,-,23:56,1.0,0.208,,True
19,2027-01-11,一,False,0.406,0.30-0.53,0.11,8.95,0.85,18:45,-,20:23,0.6,0.206,,True
20,2027-01-03,日,False,0.406,0.30-0.53,0.17,8.9,0.84,18:40,03:34,-,0.6,0.204,,True
21,2027-02-28,日,True,0.32,0.21-0.44,0.48,5.96,0.61,19:12,01:10,-,1.0,0.194,和平紀念日,True
22,2027-01-29,五,True,0.355,0.24-0.48,0.5,5.58,0.54,18:56,00:31,-,1.0,0.191,,True
23,2027-01-12,二,False,0.406,0.30-0.53,0.18,8.09,0.77,18:46,-,21:14,0.6,0.186,,True
24,2027-02-12,五,True,0.283,0.20-0.39,0.3,6.41,0.63,19:04,-,22:49,1.0,0.179,,True
25,2027-01-13,三,False,0.406,0.30-0.53,0.26,7.22,0.68,18:46,-,22:07,0.6,0.166,,True
26,2027-02-27,六,True,0.32,0.21-0.44,0.57,5.05,0.51,19:11,00:14,-,1.0,0.164,,True
27,2027-01-31,日,False,0.355,0.24-0.48,0.31,7.43,0.72,18:57,02:23,-,0.6,0.153,,True
28,2027-02-02,二,False,0.283,0.20-0.39,0.15,9.15,0.89,18:58,04:07,-,0.6,0.151,,True
29,2027-02-13,六,True,0.283,0.20-0.39,0.41,5.38,0.53,19:05,-,23:50,1.0,0.15,,True
30,2027-01-16,六,True,0.355,0.24-0.48,0.56,4.4,0.42,18:48,-,00:56,1.0,0.148,,True
31,2027-01-14,四,False,0.406,0.30-0.53,0.36,6.33,0.6,18:47,-,23:00,0.6,0.146,,True
32,2027-02-10,三,False,0.283,0.20-0.39,0.14,8.3,0.81,19:03,-,20:56,0.6,0.139,補假,True
33,2027-02-01,一,False,0.283,0.20-0.39,0.23,8.32,0.81,18:58,03:17,-,0.6,0.137,,True
34,2027-02-26,五,True,0.32,0.21-0.44,0.67,4.1,0.41,19:11,23:17,-,1.0,0.133,,True
35,2027-02-11,四,False,0.283,0.20-0.39,0.21,7.38,0.73,19:03,-,21:51,0.6,0.123,,True
36,2027-01-28,四,False,0.355,0.24-0.48,0.6,4.64,0.45,18:56,23:34,-,0.6,0.095,,True
37,2027-01-27,三,False,0.355,0.24-0.48,0.7,3.7,0.36,18:55,22:37,-,0.6,0.076,,True
38,2027-02-14,日,False,0.283,0.20-0.39,0.52,4.31,0.43,19:05,-,00:53,0.6,0.072,,True
39,2027-01-17,日,False,0.355,0.24-0.48,0.67,3.33,0.32,18:49,-,02:00,0.6,0.067,,True
40,2027-02-25,四,False,0.32,0.21-0.44,0.76,3.13,0.32,19:10,22:18,-,0.6,0.061,,True
41,2027-02-15,一,False,0.283,0.20-0.39,0.63,3.21,0.32,19:06,-,01:59,0.6,0.054,,True
42,2027-01-26,二,False,0.355,0.24-0.48,0.8,2.74,0.26,18:54,21:39,-,0.6,0.056,,False
43,2027-01-18,一,False,0.355,0.24-0.48,0.77,2.21,0.21,18:49,-,03:07,0.6,0.045,,False
44,2027-02-24,三,False,0.32,0.21-0.44,0.85,2.16,0.22,19:10,21:19,-,0.6,0.042,,False
45,2027-02-16,二,False,0.32,0.21-0.44,0.73,2.13,0.21,19:06,-,03:03,0.6,0.041,,False
46,2027-01-25,一,False,0.355,0.24-0.48,0.88,1.76,0.17,18:54,20:39,-,0.6,0.036,,False
47,2027-02-23,二,False,0.32,0.21-0.44,0.92,1.18,0.12,19:09,20:20,-,0.6,0.023,,False
48,2027-01-19,二,False,0.355,0.24-0.48,0.86,1.08,0.1,18:50,-,04:15,0.6,0.022,,False
49,2027-02-17,三,False,0.32,0.21-0.44,0.83,1.14,0.11,19:07,-,04:02,0.6,0.022,,False
50,2027-01-24,日,False,0.355,0.24-0.48,0.94,0.72,0.07,18:53,19:36,-,0.6,0.015,,False
51,2027-02-18,四,False,0.32,0.21-0.44,0.91,0.25,0.03,19:07,-,04:54,0.6,0.005,,False
52,2027-02-22,一,False,0.32,0.21-0.44,0.97,0.18,0.02,19:09,19:20,-,0.6,0.003,,False
53,2027-01-20,三,False,0.355,0.24-0.48,0.94,0.01,0.0,18:51,-,05:20,0.6,0.0,,False
54,2027-01-21,四,False,0.355,0.24-0.48,0.98,0.0,0.0,18:51,-,06:18,0.6,0.0,,False
55,2027-01-22,五,True,0.355,0.24-0.48,1.0,0.0,0.0,18:52,-,-,1.0,0.0,,False
56,2027-01-23,六,True,0.355,0.24-0.48,0.99,0.0,0.0,18:53,18:30,-,1.0,0.0,,False
57,2027-02-19,五,True,0.32,0.21-0.44,0.97,0.0,0.0,19:08,-,05:41,1.0,0.0,,False
58,2027-02-20,六,True,0.32,0.21-0.44,1.0,0.0,0.0,19:08,-,06:22,1.0,0.0,,False
59,2027-02-21,日,False,0.32,0.21-0.44,1.0,0.0,0.0,19:09,18:17,-,0.6,0.0,,False
