night,rh_mean,rh_min,rh_max,dpd_mean,dpd_min,dpd_max,t_air_mean,t_air_min,t_air_max,wind_mean,wind_min,wind_max,pres_mean,pres_min,pres_max,precip_night,precip_known_hours,n_hours_rh,e_tcc_mean,e_tcc_min,e_tcc_max,e_lcc_mean,e_mcc_mean,e_hcc_mean,e_mh_mean,e_mh_min,e_rh_mean,e_t2m_mean,e_precip_night,moon_illum,dark_hours,night_hours,dark_frac
2017-12-01,99.333,97.000,100.000,0.098,0.000,0.440,4.911,3.800,6.500,1.478,0.500,2.100,704.844,703.900,705.600,0.000,9.000,9.000,0.462,0.380,0.840,0.429,0.206,0.000,0.206,0.140,90.556,1.689,0.000,0.927,0.600,10.580,0.057
2017-12-02,96.111,91.000,100.000,0.578,0.000,1.360,5.833,5.500,6.200,2.878,1.900,4.400,704.322,703.400,704.800,0.000,9.000,9.000,0.542,0.200,0.870,0.502,0.107,0.000,0.107,0.010,92.000,2.067,0.100,0.976,0.000,10.590,0.000
2017-12-03,99.333,94.000,100.000,0.096,0.000,0.860,4.011,1.600,4.800,5.522,4.700,7.300,702.356,701.700,703.000,0.000,9.000,9.000,0.409,0.210,0.610,0.396,0.111,0.000,0.111,0.040,93.889,2.944,0.000,0.998,0.000,10.600,0.000
2017-12-04,79.111,71.000,96.000,3.237,0.490,4.650,0.256,-0.700,0.800,4.522,3.800,5.500,700.267,699.700,700.700,0.000,9.000,9.000,0.418,0.220,0.640,0.387,0.207,0.000,0.207,0.080,77.111,-0.189,0.000,0.989,0.000,10.600,0.000
2017-12-05,99.556,98.000,100.000,0.053,0.000,0.240,-1.844,-2.700,-0.800,4.567,3.300,7.200,698.933,697.900,700.000,0.000,9.000,9.000,0.879,0.510,1.000,0.837,0.316,0.106,0.387,0.220,90.889,-2.433,1.400,0.952,0.530,10.610,0.050
2017-12-06,100.000,100.000,100.000,0.000,0.000,0.000,1.900,1.600,2.200,6.956,5.300,9.400,700.344,699.900,700.700,7.000,9.000,9.000,0.992,0.970,1.000,0.987,0.719,0.000,0.719,0.620,94.778,-1.544,3.000,0.887,1.590,10.620,0.150
2017-12-07,100.000,100.000,100.000,0.000,0.000,0.000,2.500,2.400,2.700,4.378,2.900,6.000,700.622,700.000,701.000,0.500,9.000,9.000,0.921,0.650,0.980,0.858,0.728,0.000,0.728,0.530,92.111,-0.989,2.400,0.802,2.650,10.620,0.250
2017-12-08,100.000,100.000,100.000,0.000,0.000,0.000,1.433,0.700,2.100,5.611,3.900,7.300,698.511,697.700,699.200,8.000,9.000,9.000,0.999,0.990,1.000,0.971,0.659,0.826,0.938,0.861,98.667,-4.878,3.100,0.703,3.690,10.630,0.347
2017-12-09,87.556,77.000,96.000,1.673,0.480,3.560,-1.578,-3.200,0.100,10.367,8.400,12.700,698.911,696.900,699.800,0.000,9.000,9.000,0.932,0.830,1.000,0.926,0.042,0.056,0.095,0.000,96.889,-3.622,0.000,0.597,4.680,10.630,0.440
2017-12-10,75.556,61.000,94.000,3.930,0.860,6.700,0.778,0.500,1.300,7.200,5.600,7.900,701.044,700.400,701.500,0.000,9.000,9.000,0.457,0.300,0.790,0.248,0.073,0.261,0.318,0.050,91.000,0.267,0.900,0.490,5.620,10.640,0.529
