stn_id,month,status,http,code,rows,expected,elapsed_s,bytes,fetched_at,note
466910,2008-01,ok,200,200,744,744,1.09,1161864,2026-09-12T14:56:41,
466910,2008-02,ok,200,200,696,696,0.89,1087271,2026-09-12T14:56:43,
466910,2008-03,ok,200,200,744,744,0.64,1161769,2026-09-12T14:56:45,
466910,2008-04,ok,200,200,720,720,0.7,1124726,2026-09-12T14:56:47,
466910,2008-05,ok,200,200,744,744,0.77,1162322,2026-09-12T14:56:49,
466910,2008-06,ok,200,200,720,720,0.78,1124722,2026-09-12T14:56:51,
466910,2008-07,ok,200,200,744,744,1.28,1162362,2026-09-12T14:56:54,
466910,2008-08,ok,200,200,744,744,0.72,1162144,2026-09-12T14:56:55,
466910,2008-09,ok,200,200,720,720,0.86,1125421,2026-09-12T14:56:58,
466910,2008-10,ok,200,200,744,744,0.95,1162704,2026-09-12T14:57:00,
466910,2008-11,ok,200,200,720,720,1.45,1125119,2026-09-12T14:57:02,
466910,2008-12,ok,200,200,744,744,0.67,1161539,2026-09-12T14:57:04,
466910,2009-01,ok,200,200,744,744,0.86,1161864,2026-09-12T14:57:06,
466910,2009-02,ok,200,200,672,672,0.66,1049914,2026-09-12T14:57:08,
466910,2009-03,ok,200,200,744,744,0.95,1161938,2026-09-12T14:57:10,
466910,2009-04,ok,200,200,720,720,1.36,1124542,2026-09-12T14:57:13,
466910,2009-05,ok,200,200,744,744,0.97,1161837,2026-09-12T14:57:15,
466910,2009-06,ok,200,200,720,720,2.03,1124505,2026-09-12T14:57:18,
466910,2009-07,ok,200,200,744,744,1.08,1162377,2026-09-12T14:57:20,
466910,2009-08,ok,200,200,744,744,0.98,1162269,2026-09-12T14:57:23,
466910,2009-09,ok,200,200,720,720,1.25,1125411,2026-09-12T14:57:25,
466910,2009-10,ok,200,200,744,744,1.02,1163613,2026-09-12T14:57:27,
466910,2009-11,ok,200,200,720,720,0.83,1125416,2026-09-12T14:57:29,
466910,2009-12,ok,200,200,744,744,1.05,1161641,2026-09-12T14:57:32,
466910,2010-01,ok,200,200,744,744,1.23,1160808,2026-09-12T14:57:34,
466910,2010-02,ok,200,200,672,672,0.73,1048263,2026-09-12T14:57:36,
466910,2010-03,ok,200,200,744,744,0.95,1160387,2026-09-12T14:57:38,
466910,2010-04,ok,200,200,720,720,0.55,1123689,2026-09-12T14:57:40,
466910,2010-05,ok,200,200,744,744,0.59,1160820,2026-09-12T14:57:42,
466910,2010-06,ok,200,200,720,720,0.98,1123474,2026-09-12T14:57:44,
466910,2010-07,ok,200,200,744,744,0.95,1160752,2026-09-12T14:57:46,
466910,2010-08,ok,200,200,744,744,0.84,1160927,2026-09-12T14:57:48,
466910,2010-09,ok,200,200,720,720,1.09,1123505,2026-09-12T14:57:50,
466910,2010-10,ok,200,200,744,744,1.0,1161781,2026-09-12T14:57:53,
466910,2010-11,ok,200,200,720,720,0.86,1124101,2026-09-12T14:57:55,
466910,2010-12,ok,200,200,744,744,0.83,1159822,2026-09-12T14:57:57,
466910,2011-01,ok,200,200,744,744,0.78,1162077,2026-09-12T14:57:59,
466910,2011-02,ok,200,200,672,672,1.12,1048240,2026-09-12T14:58:01,
466910,2011-03,ok,200,200,744,744,1.3,1160809,2026-09-12T14:58:03,
466910,2011-04,ok,200,200,720,720,0.88,1123277,2026-09-12T14:58:06,
466910,2011-05,ok,200,200,744,744,0.69,1161493,2026-09-12T14:58:07,
466910,2011-06,ok,200,200,720,720,1.02,1123644,2026-09-12T14:58:10,
466910,2011-07,ok,200,200,744,744,1.11,1161278,2026-09-12T14:58:12,
466910,2011-08,ok,200,200,744,744,1.31,1161196,2026-09-12T14:58:14,
466910,2011-09,ok,200,200,720,720,2.34,1123948,2026-09-12T14:58:18,
466910,2011-10,ok,200,200,744,744,0.75,1161440,2026-09-12T14:58:20,
466910,2011-11,ok,200,200,720,720,0.78,1124452,2026-09-12T14:58:22,
466910,2011-12,ok,200,200,744,744,0.41,1160769,2026-09-12T14:58:24,
466910,2012-01,ok,200,200,744,744,0.94,1160984,2026-09-12T14:58:26,
466910,2012-02,ok,200,200,696,696,0.52,1086157,2026-09-12T14:58:27,
466910,2012-03,ok,200,200,744,744,1.02,1160857,2026-09-12T14:58:30,
466910,2012-04,ok,200,200,720,720,0.94,1123499,2026-09-12T14:58:32,
466910,2012-05,ok,200,200,744,744,0.95,1160968,2026-09-12T14:58:34,
466910,2012-06,ok,200,200,720,720,0.72,1123721,2026-09-12T14:58:36,
466910,2012-07,ok,200,200,744,744,0.88,1161238,2026-09-12T14:58:38,
466910,2012-08,ok,200,200,744,744,0.95,1161232,2026-09-12T14:58:40,
466910,2012-09,ok,200,200,720,720,0.69,1123650,2026-09-12T14:58:42,
466910,2012-10,ok,200,200,744,744,0.97,1160995,2026-09-12T14:58:44,
466910,2012-11,ok,200,200,720,720,0.84,1123518,2026-09-12T14:58:46,
466910,2012-12,ok,200,200,744,744,0.94,1160809,2026-09-12T14:58:48,
466910,2013-01,ok,200,200,744,744,0.73,1160444,2026-09-12T14:58:50,
466910,2013-02,ok,200,200,672,672,0.8,1048866,2026-09-12T14:58:52,
466910,2013-03,ok,200,200,744,744,1.01,1160733,2026-09-12T14:58:54,
466910,2013-04,ok,200,200,720,720,0.78,1123373,2026-09-12T14:58:56,
466910,2013-05,ok,200,200,744,744,0.58,1160798,2026-09-12T14:58:58,
466910,2013-06,ok,200,200,720,720,1.11,1123157,2026-09-12T14:59:01,
466910,2013-07,ok,200,200,744,744,0.72,1160822,2026-09-12T14:59:02,
466910,2013-08,ok,200,200,744,744,0.45,1160738,2026-09-12T14:59:04,
466910,2013-09,ok,200,200,720,720,0.84,1124186,2026-09-12T14:59:06,
466910,2013-10,ok,200,200,744,744,0.91,1161539,2026-09-12T14:59:08,
466910,2013-11,ok,200,200,720,720,0.78,1123616,2026-09-12T14:59:10,
466910,2013-12,ok,200,200,744,744,0.5,1160338,2026-09-12T14:59:12,
466910,2014-01,ok,200,200,744,744,0.81,1159572,2026-09-12T14:59:14,
466910,2014-02,ok,200,200,672,672,0.58,1048071,2026-09-12T14:59:16,
466910,2014-03,ok,200,200,744,744,0.89,1160361,2026-09-12T14:59:18,
466910,2014-04,ok,200,200,720,720,0.89,1123066,2026-09-12T14:59:20,
466910,2014-05,ok,200,200,744,744,0.81,1160684,2026-09-12T14:59:22,
466910,2014-06,ok,200,200,720,720,0.51,1123195,2026-09-12T14:59:24,
466910,2014-07,ok,200,200,744,744,0.58,1160827,2026-09-12T14:59:25,
466910,2014-08,ok,200,200,744,744,0.94,1160130,2026-09-12T14:59:28,
466910,2014-09,ok,200,200,720,720,0.84,1122915,2026-09-12T14:59:30,
466910,2014-10,ok,200,200,744,744,0.86,1160853,2026-09-12T14:59:32,
466910,2014-11,ok,200,200,720,720,0.51,1123676,2026-09-12T14:59:33,
466910,2014-12,ok,200,200,744,744,0.86,1160508,2026-09-12T14:59:35,
466910,2015-01,ok,200,200,744,744,0.92,1160964,2026-09-12T14:59:38,
466910,2015-02,ok,200,200,672,672,0.78,1048669,2026-09-12T14:59:40,
466910,2015-03,ok,200,200,744,744,1.03,1161180,2026-09-12T14:59:42,
466910,2015-04,ok,200,200,720,720,0.67,1123674,2026-09-12T14:59:44,
466910,2015-05,ok,200,200,744,744,1.0,1161419,2026-09-12T14:59:46,
466910,2015-06,ok,200,200,720,720,0.77,1123806,2026-09-12T14:59:48,
466910,2023-01,ok,200,200,744,744,1.12,1160540,2026-09-12T14:33:08,
466910,2023-02,ok,200,200,672,672,0.81,1049371,2026-09-12T14:33:10,
466910,2023-03,ok,200,200,744,744,0.83,1159897,2026-09-12T14:33:12,
466910,2023-04,ok,200,200,720,720,0.89,1122746,2026-09-12T14:33:14,
466910,2023-05,ok,200,200,744,744,0.94,1160516,2026-09-12T14:33:16,
466910,2023-06,ok,200,200,720,720,0.97,1122989,2026-09-12T14:33:18,
466910,2023-07,ok,200,200,744,744,0.89,1160480,2026-09-12T14:33:20,
466910,2023-08,ok,200,200,744,744,0.94,1160433,2026-09-12T14:33:22,
466910,2023-09,ok,200,200,720,720,0.56,1122998,2026-09-12T14:33:24,
466910,2023-10,ok,200,200,744,744,0.95,1160667,2026-09-12T14:33:26,
466910,2023-11,ok,200,200,720,720,0.89,1122641,2026-09-12T14:33:28,
466910,2023-12,ok,200,200,744,744,0.7,1160590,2026-09-12T14:33:30,
466910,2024-01,ok,200,200,744,744,0.73,1159517,2026-09-12T14:33:32,
466910,2024-02,ok,200,200,696,696,0.66,1084552,2026-09-12T14:33:34,
466910,2024-03,ok,200,200,744,744,0.91,1159771,2026-09-12T14:33:36,
466910,2024-04,ok,200,200,720,720,0.78,1122971,2026-09-12T14:33:38,
466910,2024-05,ok,200,200,744,744,0.45,1160263,2026-09-12T14:33:40,
466910,2024-06,ok,200,200,720,720,0.98,1122931,2026-09-12T14:33:42,
466910,2024-07,ok,200,200,744,744,0.58,1160398,2026-09-12T14:33:44,
466910,2024-08,ok,200,200,744,744,1.14,1159917,2026-09-12T14:33:46,
466910,2024-09,ok,200,200,720,720,0.45,1123134,2026-09-12T14:33:48,
466910,2024-10,ok,200,200,744,744,0.69,1161136,2026-09-12T14:33:50,
466910,2024-11,ok,200,200,720,720,0.81,1123346,2026-09-12T14:33:52,
466910,2024-12,ok,200,200,744,744,0.75,1160529,2026-09-12T14:33:54,
466910,2025-01,ok,200,200,744,744,0.86,1159550,2026-09-12T14:33:56,
466910,2025-02,ok,200,200,672,672,0.91,1048096,2026-09-12T14:33:58,
466910,2025-03,ok,200,200,744,744,0.62,1159565,2026-09-12T14:34:00,
466910,2025-04,ok,200,200,720,720,0.66,1122663,2026-09-12T14:34:01,
466910,2025-05,ok,200,200,744,744,0.72,1160478,2026-09-12T14:34:03,
466910,2025-06,ok,200,200,720,720,0.84,1122803,2026-09-12T14:34:05,
466910,2025-07,ok,200,200,744,744,0.89,1160953,2026-09-12T14:34:08,
466910,2025-08,ok,200,200,744,744,0.92,1160049,2026-09-12T14:34:10,
466910,2025-09,ok,200,200,720,720,0.61,1122654,2026-09-12T14:34:11,
466910,2025-10,ok,200,200,744,744,0.86,1160737,2026-09-12T14:34:14,
466910,2025-11,ok,200,200,720,720,0.59,1123893,2026-09-12T14:34:15,
466910,2025-12,ok,200,200,744,744,0.69,1160613,2026-09-12T14:34:17,
466910,2026-01,ok,200,200,744,744,1.42,1157157,2026-09-12T14:43:04,
466910,2026-02,ok,200,200,672,672,0.7,1046010,2026-09-12T14:43:06,
466910,2026-03,ok,200,200,744,744,0.69,1157945,2026-09-12T14:43:08,
466910,2026-04,ok,200,200,720,720,0.94,1121146,2026-09-12T14:43:10,
466910,2026-05,ok,200,200,744,744,1.62,1158485,2026-09-12T14:43:13,
466910,2026-06,ok,200,200,720,720,1.27,1121940,2026-09-12T14:43:16,
466910,2026-07,ok,200,200,744,744,0.44,1158847,2026-09-12T14:43:17,
466910,2026-08,ok,200,200,744,744,1.22,1159036,2026-09-12T14:43:20,
466920,2008-01,ok,200,200,744,744,0.83,1159023,2026-09-12T14:50:23,
466920,2008-02,ok,200,200,696,696,0.8,1084282,2026-09-12T14:50:25,
466920,2008-03,ok,200,200,744,744,0.86,1159354,2026-09-12T14:50:27,
466920,2008-04,ok,200,200,720,720,0.64,1122038,2026-09-12T14:50:29,
466920,2008-05,ok,200,200,744,744,1.06,1159830,2026-09-12T14:50:31,
466920,2008-06,ok,200,200,720,720,0.97,1122786,2026-09-12T14:50:33,
466920,2008-07,ok,200,200,744,744,0.78,1160037,2026-09-12T14:50:35,
466920,2008-08,ok,200,200,744,744,0.74,1160196,2026-09-12T14:50:37,
466920,2008-09,ok,200,200,720,720,0.95,1121880,2026-09-12T14:50:39,
466920,2008-10,ok,200,200,744,744,0.89,1159072,2026-09-12T14:50:41,
466920,2008-11,ok,200,200,720,720,0.88,1121554,2026-09-12T14:50:43,
466920,2008-12,ok,200,200,744,744,0.86,1158609,2026-09-12T14:50:45,
466920,2009-01,ok,200,200,744,744,0.92,1158612,2026-09-12T14:50:48,
466920,2009-02,ok,200,200,672,672,0.75,1046871,2026-09-12T14:50:50,
466920,2009-03,ok,200,200,744,744,0.92,1159178,2026-09-12T14:50:52,
466920,2009-04,ok,200,200,720,720,0.81,1121894,2026-09-12T14:50:54,
466920,2009-05,ok,200,200,744,744,0.83,1159363,2026-09-12T14:50:56,
466920,2009-06,ok,200,200,720,720,0.7,1122911,2026-09-12T14:50:58,
466920,2009-07,ok,200,200,744,744,0.61,1160433,2026-09-12T14:51:00,
466920,2009-08,ok,200,200,744,744,1.09,1159613,2026-09-12T14:51:02,
466920,2009-09,ok,200,200,720,720,0.89,1122054,2026-09-12T14:51:04,
466920,2009-10,ok,200,200,744,744,1.0,1159218,2026-09-12T14:51:06,
466920,2009-11,ok,200,200,720,720,2.67,1121752,2026-09-12T14:51:10,
466920,2009-12,ok,200,200,744,744,1.17,1158682,2026-09-12T14:51:12,
466920,2010-01,ok,200,200,744,744,0.81,1158890,2026-09-12T14:51:14,
466920,2010-02,ok,200,200,672,672,0.97,1047128,2026-09-12T14:51:16,
466920,2010-03,ok,200,200,744,744,0.95,1159054,2026-09-12T14:51:19,
466920,2010-04,ok,200,200,720,720,1.02,1122240,2026-09-12T14:51:21,
466920,2010-05,ok,200,200,744,744,0.84,1159819,2026-09-12T14:51:23,
466920,2010-06,ok,200,200,720,720,1.08,1122815,2026-09-12T14:51:25,
466920,2010-07,ok,200,200,744,744,1.03,1160628,2026-09-12T14:51:27,
