month,stn_id,median,mean,count
2010-08,467530,1.0,1.03,31
2010-09,467530,1.0,1.57,30
2010-10,467530,1.0,1.23,31
2010-11,467530,1.0,0.97,30
2010-12,467530,1.0,1.1,31
2011-01,467530,1.0,1.39,31
2011-02,467530,1.0,1.32,28
2011-03,467530,1.0,1.63,30
2011-04,467530,1.0,1.1,30
2011-05,467530,1.0,0.94,31
2011-06,467530,0.0,0.53,30
2011-07,467530,0.0,0.65,31
2011-08,467530,1.0,1.26,31
2011-09,467530,1.0,1.27,30
2011-10,467530,1.0,1.19,31
2011-11,467530,1.0,1.2,30
2011-12,467530,1.0,1.19,31
2012-01,467530,1.0,1.53,30
2012-02,467530,1.0,1.28,29
2012-03,467530,1.0,1.39,31
2012-04,467530,1.0,1.47,30
2012-05,467530,1.0,0.87,31
2012-06,467530,0.0,0.55,29
2012-07,467530,1.0,0.77,31
2012-08,467530,1.0,1.63,30
2012-09,467530,1.0,1.27,30
2012-10,467530,1.0,1.03,31
2012-11,467530,1.0,1.1,30
2012-12,467530,1.0,1.23,31
2013-01,467530,1.0,1.19,31
2013-02,467530,1.0,1.04,28
2013-03,467530,1.0,1.32,31
2013-04,467530,2.0,1.77,30
2013-05,467530,1.0,1.35,31
2013-06,467530,0.5,0.6,30
2013-07,467530,1.0,0.84,31
2013-08,467530,1.0,1.42,31
2013-09,467530,1.0,1.4,30
2013-10,467530,1.0,1.03,31
2013-11,467530,1.0,1.07,30
2013-12,467530,1.0,1.42,31
2014-01,467530,1.0,1.03,31
2014-02,467530,1.0,1.39,28
2014-03,467530,1.0,1.52,31
2014-04,467530,1.0,1.47,30
2014-05,467530,1.0,1.85,26
2014-06,467530,1.0,0.8,30
2014-07,467530,1.0,1.03,31
2014-08,467530,1.0,1.1,31
2014-09,467530,1.0,1.43,30
2014-10,467530,1.0,0.97,31
2014-11,467530,1.0,0.9,30
2014-12,467530,1.0,1.35,31
2015-01,467530,1.0,1.16,31
2015-02,467530,1.0,1.11,28
2015-03,467530,1.0,1.06,31
2015-04,467530,1.0,1.17,30
2015-05,467530,1.0,1.19,31
2015-06,467530,0.0,0.37,30
2015-07,467530,1.0,1.1,31
2015-08,467530,1.0,1.48,31
2015-09,467530,1.0,1.17,30
2015-10,467530,1.0,1.1,31
2015-11,467530,1.0,0.93,30
2015-12,467530,1.0,1.16,31
2016-01,467530,2.0,2.1,30
2016-02,467530,1.0,1.45,29
2016-03,467530,1.0,1.73,30
2016-04,467530,1.0,1.5,30
2016-05,467530,1.0,0.94,31
2016-06,467530,0.5,0.93,30
2016-07,467530,1.0,1.06,31
2016-08,467530,1.0,1.23,31
2016-09,467530,1.0,1.6,30
2016-10,467530,1.0,1.35,31
2016-11,467530,1.0,1.17,30
2016-12,467530,1.0,1.16,31
2017-01,467530,1.0,1.13,31
2017-02,467530,1.0,1.32,28
2017-03,467530,1.0,1.2,30
2023-01,467530,0.0,0.06,31
2023-02,467530,0.0,0.04,28
2023-03,467530,0.0,0.35,31
2023-04,467530,0.0,0.27,30
2023-05,467530,0.0,-0.06,31
2023-06,467530,0.0,0.03,30
2023-07,467530,0.0,0.03,31
2023-08,467530,0.0,0.1,31
2023-09,467530,0.0,0.37,30
2023-10,467530,1.0,0.97,31
2023-11,467530,0.0,0.0,30
2023-12,467530,0.0,0.0,31
2024-01,467530,0.0,0.03,31
2024-02,467530,0.0,0.07,29
2024-03,467530,0.0,0.39,31
2024-04,467530,0.0,0.4,30
2024-05,467530,0.0,0.03,31
2024-06,467530,0.0,0.0,30
2024-07,467530,0.0,0.06,31
2024-08,467530,0.0,0.0,31
2024-09,467530,0.0,0.27,30
2024-10,467530,1.0,0.9,31
2024-11,467530,0.0,0.03,30
2024-12,467530,0.0,0.03,31
2025-01,467530,0.0,0.1,31
2025-02,467530,0.0,0.04,28
2025-03,467530,0.0,0.39,31
2025-04,467530,0.0,0.27,30
2025-05,467530,0.0,0.0,31
2025-06,467530,0.0,0.0,30
2025-07,467530,0.0,0.1,31
2025-08,467530,0.0,0.03,31
2025-09,467530,0.0,0.27,30
2025-10,467530,1.0,0.97,31
2025-11,467530,0.0,0.0,30
2025-12,467530,0.0,0.03,31
2026-01,467530,0.0,0.06,31
2026-02,467530,0.0,0.0,28
2026-03,467530,0.0,0.45,31
2026-04,467530,0.0,0.37,30
2026-05,467530,0.0,0.0,31
2026-06,467530,0.0,0.03,30
2026-07,467530,0.0,0.03,31
2026-08,467530,0.0,0.16,31
