month,20,21,22,23,0,1,2,3,4
1,0.389,0.407,0.41,0.401,0.396,0.395,0.387,0.385,0.391
2,0.314,0.338,0.371,0.346,0.347,0.351,0.346,0.339,0.341
3,0.278,0.291,0.295,0.318,0.349,0.341,0.352,0.354,0.361
4,0.24,0.254,0.276,0.293,0.332,0.336,0.343,0.293,0.315
5,0.165,0.168,0.199,0.219,0.254,0.267,0.252,0.268,0.266
6,0.158,0.212,0.245,0.285,0.29,0.326,0.343,0.351,0.381
7,0.272,0.375,0.49,0.5,0.55,0.531,0.56,0.557,0.575
8,0.221,0.266,0.329,0.352,0.37,0.409,0.466,0.463,0.464
9,0.255,0.312,0.347,0.389,0.402,0.424,0.432,0.443,0.464
10,0.393,0.429,0.473,0.484,0.51,0.516,0.511,0.513,0.519
11,0.405,0.397,0.42,0.431,0.458,0.445,0.448,0.452,0.454
12,0.34,0.374,0.379,0.361,0.362,0.354,0.337,0.339,0.337
