site,night,d_sunset_min,d_dusk_min,d_dawn_min,d_dark_h,d_illum
hehuan,2022-05-05,1.21971165,-0.0016845666666666667,-0.0017933499999999991,0.0,0.0
hehuan,2010-07-01,1.2760073,-0.0012496333333333332,-0.0013777999999999993,0.0,0.0
hehuan,2008-07-23,1.2361627333333334,-0.00785485,-0.008013516666666666,0.0,0.0
hehuan,2024-08-18,1.1926646333333333,0.00042856666666666666,0.0006307333333333333,0.0,0.0
hehuan,2014-03-03,1.1854500333333333,-0.0024771833333333327,-0.0027722833333333327,0.0,0.0
hehuan,2013-06-29,1.2801710166666667,0.0005766333333333333,0.0004653,0.0,0.0
hehuan,2013-01-02,1.31414335,0.004993433333333333,0.00498505,0.0,0.0
hehuan,2011-02-17,1.2106777499999999,-0.002441033333333333,-0.0025919666666666674,0.0,0.0
hehuan,2024-07-08,1.2695769000000001,-1.531666666666672e-05,-7.973333333333351e-05,0.0,0.0
hehuan,2010-04-19,1.1930534833333333,-0.00016186666666666757,-0.000343383333333334,0.0,0.0
hehuan,2023-03-06,1.1845749333333333,0.00010443333333333333,-0.0002139000000000002,0.0,0.0
hehuan,2024-08-11,1.2053728,0.00031444999999999997,0.0004714166666666667,0.0,0.0
hehuan,2020-03-25,1.1695955666666669,-0.003595683333333333,-0.003953766666666667,0.0,0.0
hehuan,2009-12-13,1.31327945,0.0026642166666666664,0.0026039666666666664,0.0,0.0
hehuan,2021-03-30,1.1716445833333333,-0.0027307666666666675,-0.003085483333333333,0.0,0.0
hehuan,2017-06-18,1.2886874833333333,0.0056669,0.00573695,0.0,0.0
hehuan,2008-09-17,1.1550063833333333,-0.008220683333333334,-0.007954016666666668,0.0,0.0
hehuan,2008-09-01,1.16451115,-0.008089366666666665,-0.0078654,0.0,0.0
hehuan,2010-02-06,1.2392906333333333,0.0017128166666666666,0.0016068333333333332,0.0,0.0
hehuan,2012-11-26,1.2891080166666666,0.005573966666666667,0.005487683333333334,0.0,0.0
hehuan,2013-03-20,1.1767423333333333,0.003102366666666667,0.00278595,0.0,0.0
hehuan,2019-05-02,1.2123180833333334,-0.0027197666666666674,-0.002854933333333333,0.0,0.0
hehuan,2021-07-02,1.2739498166666665,-0.0030191999999999997,-0.003066400000000001,0.0,0.0
hehuan,2008-08-05,1.2093788,-0.00795565,-0.007966766666666668,0.0,0.0
hehuan,2020-08-02,1.2195124833333333,-0.0038261000000000007,-0.0037817000000000007,0.0,0.0
hehuan,2012-06-16,1.2726281833333333,-0.010016883333333334,-0.010079883333333334,0.0,0.0
hehuan,2024-01-22,1.2755792,0.0007463833333333334,0.0007030666666666667,0.0,0.0
hehuan,2022-07-29,1.2316210833333334,-0.0009102333333333342,-0.000988,0.0,0.0
hehuan,2023-09-24,1.1639007166666666,6.7e-06,0.0002859,0.0,0.0
hehuan,2020-03-22,1.1697181333333333,-0.0035226666666666666,-0.003890566666666667,0.0,0.0
taipei,2022-05-05,1.22957965,-0.0016926499999999993,-0.0018037500000000002,0.010000000000000675,0.0
taipei,2010-07-01,1.2893249,-0.0012479333333333341,-0.0013817833333333327,0.0,0.0
taipei,2008-07-23,1.24674795,-0.007859583333333333,-0.008022416666666667,0.0,0.0
taipei,2024-08-18,1.20184815,0.00041175,0.0006239166666666667,0.0,0.0
taipei,2014-03-03,1.1940814333333334,-0.002481933333333334,-0.002788583333333333,0.0,0.0
taipei,2013-06-29,1.2917531500000001,0.0005765666666666667,0.00046488333333333335,0.0,0.0
taipei,2013-01-02,1.3253764833333332,0.00499375,0.004985283333333334,0.0,0.0
taipei,2011-02-17,1.2197733,-0.0024428999999999996,-0.002606966666666666,0.0,0.0
taipei,2024-07-08,1.2808769,-1.63833333333326e-05,-8.343333333333259e-05,0.0,0.0
taipei,2010-04-19,1.2021430333333332,-0.00017190000000000076,-0.00035761666666666583,0.0,0.0
taipei,2023-03-06,1.1931471666666666,0.00010095,-0.00023099999999999973,0.0,0.0
taipei,2024-08-11,1.2148982,0.00029738333333333334,0.0004604666666666667,0.0,0.0
taipei,2020-03-25,1.1780612666666668,-0.003599483333333333,-0.003975916666666666,0.0,0.0
taipei,2009-12-13,1.3245682333333333,0.0026639833333333336,0.0026006000000000002,0.0,0.0
taipei,2021-03-30,1.1801694500000002,-0.002734883333333334,-0.003106066666666666,0.0,0.0
taipei,2017-06-18,1.3003497666666666,0.005661933333333333,0.00573935,0.0,0.0
