cat,n,rh_mean,rh_ge98,vis_mean,vis_lt1km
clear<=2,5406,78.96,0.08,23.19,0.0
cloudy>2,7669,89.78,0.24,15.13,0.01
code_-99.7,368,98.8,0.82,0.39,1.0
null,7011,91.01,0.51,0.31,0.26
