time,sat_le2_night,sat_mean_night,sat_n_night,era5_tcc_night,era5_mh_night,rh_night,manual_le2_day,sat_le2_day
2023-01,0.0,9.545,264,0.696,0.381,98.351,0.058,0.058
2023-02,0.0,8.978,45,0.797,0.331,94.881,0.05,0.007
2023-03,0.0,8.254,279,0.535,0.352,92.563,0.09,0.229
2023-04,0.007,8.523,266,0.554,0.383,94.315,0.077,0.127
2023-05,0.0,8.649,279,0.615,0.53,94.448,0.042,0.09
2023-06,0.0,9.363,262,0.838,0.831,94.667,0.013,0.033
2023-07,0.0,8.145,275,0.694,0.687,93.301,0.055,0.168
2023-08,0.0,8.608,278,0.755,0.732,95.323,0.013,0.097
2023-09,0.033,7.385,260,0.444,0.423,94.8,0.11,0.373
2023-10,0.0,9.145,269,0.632,0.511,96.918,0.026,0.052
2023-11,0.0,8.389,270,0.523,0.383,94.504,0.117,0.2
2023-12,0.0,9.128,273,0.686,0.455,95.043,0.065,0.09
2024-01,0.0,8.617,269,0.534,0.296,94.746,0.103,0.094
2024-02,0.0,8.544,259,0.724,0.362,95.149,0.093,0.166
2024-03,0.0,8.842,278,0.654,0.559,92.609,0.055,0.061
2024-04,0.0,9.075,265,0.739,0.681,96.533,0.023,0.06
2024-05,0.0,9.137,278,0.774,0.715,94.864,0.01,0.026
2024-06,0.0,9.429,268,0.918,0.898,95.748,0.017,0.027
2024-07,0.0,7.681,270,0.447,0.423,95.746,0.048,0.197
2024-08,0.007,7.587,271,0.496,0.484,95.466,0.065,0.277
2024-09,0.026,7.741,266,0.544,0.507,97.056,0.077,0.253
2024-10,0.0,8.88,276,0.694,0.551,98.52,0.026,0.084
2024-11,0.0,9.271,269,0.787,0.56,97.381,0.033,0.017
2024-12,0.0,9.553,266,0.77,0.425,96.685,0.042,0.055
2025-01,0.0,9.0,255,0.553,0.288,92.95,0.103,0.045
2025-02,0.0,9.327,245,0.775,0.575,97.369,0.05,0.057
2025-03,0.0,8.684,272,0.609,0.475,88.369,0.129,0.232
2025-04,0.0,8.914,256,0.636,0.569,88.544,0.087,0.163
2025-05,0.0,9.279,276,0.795,0.783,93.57,0.032,0.087
2025-06,0.141,7.799,259,0.745,0.737,94.211,0.033,0.143
2025-07,0.204,7.336,274,0.782,0.769,95.412,0.029,0.126
2025-08,0.509,4.199,271,0.445,0.431,91.495,0.113,0.416
2025-09,0.378,5.483,267,0.529,0.513,93.315,0.117,0.36
2025-10,0.466,5.007,271,0.465,0.399,95.631,0.103,0.432
2025-11,0.048,8.23,196,0.684,0.552,97.789,0.027,0.047
2025-12,0.054,8.087,277,0.674,0.404,97.817,0.045,0.094
2026-01,0.111,8.101,277,,,91.541,0.0,0.132
2026-02,0.123,7.821,252,,,95.171,0.0,0.211
2026-03,0.115,6.736,276,,,95.566,0.0,0.119
2026-04,0.196,6.917,266,,,90.315,0.0,0.203
2026-05,0.204,7.029,276,,,92.968,0.0,0.139
2026-06,0.144,8.148,263,,,96.444,0.0,0.157
2026-07,0.276,5.777,265,,,95.642,0.0,0.216
2026-08,0.29,6.731,279,,,97.616,0.0,0.165
2026-09,0.0,10.0,1,,,100.0,,
