time,period,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2023,day,4.2,5.3,4.4,3.7,3.7,3.6,5.0,4.8,6.0,9.3,50.2
2023,night,0.0,0.2,0.2,0.1,0.3,1.1,18.5,8.5,7.3,9.2,54.6
2023,twilight,2.9,2.4,1.5,0.9,1.3,2.0,13.0,6.3,7.1,9.7,52.9
2024,day,3.1,4.6,3.5,3.3,3.1,2.9,3.8,3.9,6.2,9.1,56.6
2024,night,0.1,0.2,0.1,0.1,0.1,1.1,17.9,8.4,7.1,9.7,55.3
2024,twilight,3.5,2.1,1.8,1.6,1.4,1.2,10.8,7.1,6.1,9.5,55.0
2025,day,9.1,6.9,3.5,3.3,3.2,3.0,2.9,3.2,4.5,7.8,52.5
2025,night,8.9,4.1,2.9,2.3,1.9,1.3,7.3,4.7,4.3,7.3,55.0
2025,twilight,7.7,5.7,3.1,2.6,2.0,2.3,6.0,3.8,4.8,7.2,54.9
2026,day,7.5,4.9,4.4,3.9,3.2,3.7,4.2,4.7,5.9,7.1,50.4
2026,night,4.1,7.7,6.8,4.3,4.2,3.8,4.0,3.4,4.6,10.2,46.9
2026,twilight,5.3,5.6,5.6,3.7,3.6,4.0,3.4,4.5,6.2,11.3,46.7
