cat,n,rh_mean,rh_ge98,vis_mean,vis_lt1km
clear<=2,1335,69.25,0.0,15.11,0.0
cloudy>2,8344,76.98,0.0,11.18,0.0
null,10775,78.67,0.03,,0.0
