,p,n,n_years,ci_lo,ci_hi
1月,0.402,306,10,0.326,0.497
2月,0.444,277,10,0.349,0.545
3月,0.333,306,10,0.249,0.414
4月,0.346,295,10,0.283,0.409
5月,0.214,308,10,0.119,0.332
6月,0.23,300,10,0.167,0.3
7月,0.414,297,10,0.31,0.506
8月,0.302,295,10,0.2,0.419
9月,0.29,300,10,0.217,0.357
10月,0.365,310,10,0.277,0.455
11月,0.462,299,10,0.368,0.539
12月,0.418,304,10,0.329,0.502
