time,sat_le2_night,sat_mean_night,sat_n_night,era5_tcc_night,era5_mh_night,rh_night,manual_le2_day,sat_le2_day
2023-01,0.0,9.436,264,0.556,0.185,49.875,0.294,0.145
2023-02,0.0,8.667,45,0.498,0.164,48.738,0.239,0.029
2023-03,0.0,8.792,279,0.543,0.254,70.864,0.165,0.277
2023-04,0.0,9.286,266,0.757,0.263,80.748,0.087,0.133
2023-05,0.0,9.581,279,0.802,0.52,92.219,0.065,0.061
2023-06,0.0,9.84,262,0.909,0.81,92.659,0.027,0.05
2023-07,0.0,9.469,275,0.789,0.669,89.849,0.032,0.11
2023-08,0.0,9.831,278,0.938,0.802,98.717,0.035,0.048
2023-09,0.0,9.154,260,0.799,0.498,96.285,0.073,0.143
2023-10,0.0,9.55,269,0.866,0.488,97.713,0.074,0.052
2023-11,0.0,9.326,270,0.666,0.186,61.281,0.227,0.263
2023-12,0.0,9.388,273,0.685,0.332,82.086,0.194,0.168
2024-01,0.0,9.067,269,0.494,0.132,61.14,0.216,0.103
2024-02,0.0,9.089,259,0.472,0.177,64.605,0.238,0.355
2024-03,0.0,9.309,278,0.651,0.334,83.871,0.084,0.106
2024-04,0.0,9.6,265,0.688,0.553,83.633,0.057,0.147
2024-05,0.0,9.813,278,0.95,0.717,85.714,0.006,0.026
2024-06,0.0,9.802,268,0.953,0.814,75.508,0.023,0.057
2024-07,0.0,9.2,270,0.672,0.463,49.28,0.071,0.19
2024-08,0.0,9.38,271,0.878,0.617,57.057,0.068,0.1
2024-09,0.0,9.511,266,0.837,0.681,58.533,0.04,0.067
2024-10,0.0,9.457,276,0.873,0.655,66.258,0.039,0.1
2024-11,0.0,9.394,269,0.764,0.432,58.489,0.097,0.123
2024-12,0.0,9.15,266,0.66,0.289,53.368,0.197,0.171
2025-01,0.0,9.349,255,0.627,0.254,54.014,0.2,0.077
2025-02,0.0,9.294,245,0.643,0.251,61.282,0.161,0.104
2025-03,0.0,9.312,272,0.555,0.289,63.649,0.113,0.187
2025-04,0.0,9.699,256,0.679,0.41,68.981,0.083,0.113
2025-05,0.0,9.736,276,0.918,0.702,75.362,0.035,0.081
2025-06,0.081,8.529,259,0.906,0.791,77.052,0.01,0.07
2025-07,0.154,7.788,274,0.87,0.838,76.735,0.016,0.048
2025-08,0.28,6.435,271,0.699,0.549,67.853,0.048,0.194
2025-09,0.285,6.487,267,0.848,0.676,67.874,0.103,0.19
2025-10,0.462,4.642,271,0.602,0.378,75.8,0.106,0.265
2025-11,0.3,5.296,196,0.79,0.414,87.7,0.16,0.18
2025-12,0.362,4.43,277,0.625,0.203,60.43,0.21,0.229
2026-01,0.0,7.0,1,,,27.0,,
