,p,n,n_years,ci_lo,ci_hi
1月,0.369,371,13,0.262,0.483
2月,0.306,360,14,0.235,0.377
3月,0.271,420,14,0.194,0.347
4月,0.225,364,14,0.157,0.292
5月,0.108,398,14,0.05,0.178
6月,0.061,378,14,0.031,0.093
7月,0.214,397,14,0.146,0.286
8月,0.184,375,14,0.122,0.261
9月,0.241,386,13,0.18,0.305
10月,0.396,389,13,0.29,0.508
11月,0.364,409,15,0.298,0.444
12月,0.327,428,15,0.267,0.397
