time,sat_le2_night,sat_mean_night,sat_n_night,era5_tcc_night,era5_mh_night,rh_night,manual_le2_day,sat_le2_day
2023-01,0.0,8.625,264,0.418,0.208,85.054,0.181,0.197
2023-02,0.0,7.778,45,0.373,0.206,72.627,0.221,0.021
2023-03,0.0,7.599,279,0.407,0.271,71.362,0.194,0.303
2023-04,0.0,8.248,266,0.633,0.297,87.281,0.113,0.153
2023-05,0.0,8.484,279,0.73,0.542,90.57,0.097,0.09
2023-06,0.0,9.252,262,0.882,0.814,95.33,0.03,0.043
2023-07,0.0,8.455,275,0.766,0.7,93.233,0.074,0.103
2023-08,0.0,9.248,278,0.894,0.799,98.914,0.042,0.048
2023-09,0.0,7.877,260,0.737,0.568,98.73,0.1,0.107
2023-10,0.0,8.595,269,0.735,0.492,95.369,0.055,0.081
2023-11,0.0,7.707,270,0.535,0.223,72.193,0.203,0.31
2023-12,0.0,8.44,273,0.556,0.369,81.925,0.171,0.197
2024-01,0.0,7.814,269,0.379,0.195,83.731,0.174,0.197
2024-02,0.0,7.873,259,0.329,0.208,60.728,0.19,0.334
2024-03,0.0,8.471,278,0.573,0.387,80.799,0.113,0.106
2024-04,0.0,8.777,265,0.655,0.569,79.885,0.1,0.16
2024-05,0.0,9.317,278,0.859,0.722,92.022,0.029,0.039
2024-06,0.0,9.351,268,0.917,0.83,94.337,0.027,0.073
2024-07,0.0,7.874,270,0.607,0.485,94.573,0.126,0.2
2024-08,0.0,8.232,271,0.821,0.648,98.244,0.068,0.103
2024-09,0.0,8.526,266,0.812,0.706,95.607,0.07,0.103
2024-10,0.0,8.486,276,0.799,0.663,91.312,0.074,0.113
2024-11,0.004,8.19,269,0.682,0.468,86.67,0.16,0.133
2024-12,0.0,8.338,266,0.545,0.332,83.867,0.194,0.265
2025-01,0.0,8.667,255,0.521,0.299,85.025,0.155,0.135
2025-02,0.0,8.58,245,0.586,0.322,82.444,0.186,0.121
2025-03,0.0,8.228,272,0.459,0.311,75.079,0.148,0.245
2025-04,0.0,8.688,256,0.605,0.437,84.852,0.07,0.123
2025-05,0.0,8.953,276,0.829,0.709,92.172,0.058,0.097
2025-06,0.067,8.243,259,0.872,0.8,95.374,0.05,0.087
2025-07,0.176,7.646,274,0.893,0.868,96.939,0.023,0.055
2025-08,0.287,6.336,271,0.702,0.602,96.717,0.1,0.187
2025-09,0.304,6.333,267,0.827,0.728,96.481,0.08,0.173
2025-10,0.48,4.594,271,0.595,0.446,93.434,0.123,0.223
2025-11,0.311,5.173,196,0.654,0.428,81.674,0.15,0.197
2025-12,0.434,4.224,277,0.5,0.263,85.566,0.181,0.3
2026-01,0.366,4.617,277,,,86.061,0.0,0.19
2026-02,0.524,3.758,252,,,87.556,0.0,0.275
2026-03,0.552,3.493,276,,,82.566,0.0,0.303
2026-04,0.448,4.91,266,,,74.089,0.0,0.277
2026-05,0.312,5.717,276,,,89.849,0.0,0.113
2026-06,0.2,7.532,263,,,93.078,0.0,0.113
2026-07,0.358,5.464,265,,,96.165,0.0,0.161
2026-08,0.09,8.272,279,,,98.699,0.0,0.035
2026-09,0.0,10.0,1,,,100.0,,
