,p,n,n_years,ci_lo,ci_hi
1月,0.315,371,13,0.21,0.421
2月,0.225,360,14,0.165,0.291
3月,0.229,420,14,0.158,0.3
4月,0.143,364,14,0.097,0.188
5月,0.06,398,14,0.022,0.109
6月,0.029,378,14,0.01,0.052
7月,0.141,397,14,0.09,0.192
8月,0.104,375,14,0.064,0.149
9月,0.168,386,13,0.108,0.227
10月,0.308,389,13,0.207,0.418
11月,0.284,409,15,0.209,0.371
12月,0.248,428,15,0.192,0.313
