,p,n,n_years,ci_lo,ci_hi
1月,0.434,371,13,0.324,0.552
2月,0.372,360,14,0.289,0.453
3月,0.34,420,14,0.265,0.415
4月,0.354,364,14,0.291,0.417
5月,0.256,398,14,0.161,0.359
6月,0.347,378,14,0.25,0.453
7月,0.574,397,14,0.467,0.663
8月,0.413,375,14,0.325,0.514
9月,0.453,386,13,0.374,0.531
10月,0.532,389,13,0.426,0.648
11月,0.474,409,15,0.4,0.555
12月,0.39,428,15,0.321,0.466
