month,20,21,22,23,0,1,2,3,4
1,0.319,0.328,0.343,0.341,0.334,0.334,0.317,0.31,0.319
2,0.251,0.261,0.292,0.254,0.261,0.275,0.272,0.271,0.261
3,0.213,0.228,0.232,0.243,0.265,0.251,0.257,0.267,0.282
4,0.136,0.154,0.165,0.171,0.2,0.197,0.21,0.185,0.176
5,0.058,0.05,0.082,0.089,0.09,0.101,0.1,0.094,0.093
6,0.019,0.026,0.035,0.048,0.054,0.053,0.049,0.046,0.055
7,0.086,0.124,0.168,0.177,0.198,0.179,0.198,0.198,0.216
8,0.093,0.11,0.134,0.122,0.148,0.165,0.191,0.192,0.194
9,0.146,0.171,0.179,0.203,0.213,0.224,0.223,0.243,0.259
10,0.274,0.312,0.338,0.366,0.372,0.363,0.345,0.361,0.375
11,0.313,0.295,0.309,0.317,0.325,0.313,0.327,0.313,0.333
12,0.283,0.308,0.305,0.294,0.285,0.292,0.262,0.26,0.261
