year,n,manual_clear,sat_clear,both,manual_clear_sat_cloudy,manual_cloudy_sat_clear,recall_of_manual_clear,kappa
2023,1670,205,272,155,50,117,0.756,0.593
2024,1786,212,235,156,56,79,0.736,0.655
