month,p_clear,p_clear_given_prev_clear,p_clear_given_prev_cloudy,p_any_of_2,p_any_of_3
1,0.434,0.706,0.232,0.4,0.475
2,0.372,0.669,0.193,0.354,0.426
3,0.34,0.605,0.189,0.357,0.435
4,0.354,0.592,0.21,0.339,0.409
5,0.256,0.598,0.134,0.254,0.31
6,0.347,0.659,0.185,0.335,0.404
7,0.574,0.786,0.294,0.498,0.559
8,0.413,0.685,0.217,0.378,0.448
9,0.453,0.647,0.294,0.448,0.531
10,0.532,0.757,0.282,0.459,0.513
11,0.474,0.656,0.291,0.491,0.576
12,0.39,0.638,0.224,0.416,0.504
