stn_id,month,var,q25,q50,q75
C0H990,4,t_air,5.1,6.3,7.3
C0H990,5,t_air,7.4,8.5,9.3
C0H990,6,t_air,9.1,9.9,10.6
C0H990,7,t_air,9.5,10.2,10.9
C0H990,8,t_air,9.3,10.0,10.7
C0H990,9,t_air,8.7,9.5,10.2
C0H990,10,t_air,7.3,8.4,9.4
C0H990,11,t_air,4.6,6.3,7.8
C0H990,12,t_air,1.2,3.2,5.1
C0H990,1,wind,2.5,4.5,6.4
C0H990,2,wind,2.95,4.9,6.9
C0H990,3,wind,3.3,5.1,7.0
C0H990,4,wind,3.0,4.9,6.8
C0H990,5,wind,2.2,4.0,5.7
C0H990,6,wind,1.6,3.5,5.3
C0H990,7,wind,0.2,1.0,2.8
C0H990,8,wind,0.02,0.7,2.4
C0H990,9,wind,0.0,0.6,1.5
C0H990,10,wind,0.1,0.7,1.7
C0H990,11,wind,0.9,2.8,4.5
C0H990,12,wind,2.3,4.2,5.8
467530,1,rh,72.0,87.0,96.0
467530,2,rh,73.0,88.0,97.0
467530,3,rh,69.0,87.0,96.0
467530,4,rh,75.0,91.0,98.0
467530,5,rh,87.0,95.0,99.0
467530,6,rh,88.0,95.0,99.0
467530,7,rh,90.0,96.0,99.0
467530,8,rh,92.25,97.0,100.0
467530,9,rh,92.0,96.0,99.0
467530,10,rh,84.0,93.0,98.0
467530,11,rh,74.0,89.0,96.0
467530,12,rh,73.0,89.0,97.0
467530,1,dpd,0.59,1.94,4.64
467530,2,dpd,0.45,1.89,4.5
467530,3,dpd,0.59,2.06,5.36
467530,4,dpd,0.3,1.42,4.3
467530,5,dpd,0.15,0.77,2.09
467530,6,dpd,0.15,0.77,1.95
467530,7,dpd,0.15,0.63,1.58
467530,8,dpd,0.0,0.48,1.21
467530,9,dpd,0.15,0.63,1.28
467530,10,dpd,0.31,1.07,2.6
467530,11,dpd,0.61,1.75,4.37
467530,12,dpd,0.45,1.69,4.6
467530,1,t_air,3.0,5.2,7.4
467530,2,t_air,4.4,6.4,8.4
467530,3,t_air,6.5,8.2,9.8
467530,4,t_air,9.0,10.4,11.4
467530,5,t_air,11.1,12.1,13.0
467530,6,t_air,12.5,13.3,14.0
467530,7,t_air,12.6,13.4,14.1
467530,8,t_air,12.6,13.4,14.2
467530,9,t_air,12.0,12.9,13.8
467530,10,t_air,10.3,11.6,12.7
467530,11,t_air,8.5,10.0,11.3
467530,12,t_air,5.0,7.0,8.9
467530,1,wind,0.7,1.1,1.6
467530,2,wind,0.7,1.2,1.6
467530,3,wind,0.8,1.2,1.7
467530,4,wind,0.8,1.25,1.7
467530,5,wind,0.7,1.15,1.7
467530,6,wind,0.7,1.2,1.8
467530,7,wind,0.7,1.1,1.6
467530,8,wind,0.6,1.1,1.6
467530,9,wind,0.5,1.0,1.5
467530,10,wind,0.5,0.9,1.4
467530,11,wind,0.6,1.0,1.5
467530,12,wind,0.6,1.1,1.6
466910,1,rh,90.0,97.0,100.0
466910,2,rh,91.0,97.0,100.0
466910,3,rh,88.0,95.0,99.0
466910,4,rh,87.0,93.0,99.0
466910,5,rh,88.0,94.0,99.0
466910,6,rh,87.0,93.0,98.0
466910,7,rh,86.0,92.0,97.0
466910,8,rh,87.0,92.0,98.0
466910,9,rh,88.0,93.0,98.0
466910,10,rh,91.0,96.0,100.0
466910,11,rh,92.0,96.0,100.0
466910,12,rh,91.0,97.0,100.0
466910,1,dpd,0.0,0.45,1.52
466910,2,dpd,0.0,0.45,1.37
466910,3,dpd,0.15,0.76,1.88
466910,4,dpd,0.16,1.11,2.18
466910,5,dpd,0.16,0.99,2.04
466910,6,dpd,0.33,1.18,2.27
466910,7,dpd,0.5,1.38,2.45
466910,8,dpd,0.33,1.36,2.26
466910,9,dpd,0.33,1.17,2.07
466910,10,dpd,0.0,0.65,1.51
466910,11,dpd,0.0,0.62,1.33
466910,12,dpd,0.0,0.45,1.35
466910,1,t_air,7.5,9.9,12.2
466910,2,t_air,8.3,10.9,13.5
466910,3,t_air,9.4,12.6,15.4
466910,4,t_air,13.3,15.9,18.3
466910,5,t_air,17.1,19.2,20.7
466910,6,t_air,20.6,21.6,22.4
466910,7,t_air,21.5,22.1,22.7
466910,8,t_air,21.5,22.0,22.6
466910,9,t_air,20.0,21.1,21.8
466910,10,t_air,16.2,17.9,19.8
466910,11,t_air,13.5,15.6,17.4
466910,12,t_air,8.9,11.4,13.7
466910,1,wind,1.8,2.7,4.0
466910,2,wind,1.5,2.5,3.8
466910,3,wind,1.5,2.4,3.6
466910,4,wind,1.1,2.0,3.3
466910,5,wind,1.0,1.9,2.9
466910,6,wind,1.0,1.7,2.5
466910,7,wind,0.9,1.8,3.0
466910,8,wind,0.9,1.8,3.1
466910,9,wind,1.3,2.4,4.0
466910,10,wind,1.8,2.8,4.2
466910,11,wind,1.9,2.9,4.12
466910,12,wind,1.9,2.8,4.2
466920,1,rh,70.0,81.0,87.0
466920,2,rh,75.0,82.5,88.0
466920,3,rh,72.0,80.0,87.0
466920,4,rh,71.0,79.0,86.0
466920,5,rh,72.0,79.0,86.0
466920,6,rh,74.0,80.0,87.0
466920,7,rh,69.0,75.0,81.0
466920,8,rh,70.0,76.0,83.0
466920,9,rh,70.0,76.0,82.0
466920,10,rh,71.0,78.0,85.0
466920,11,rh,72.0,79.0,85.0
466920,12,rh,70.0,80.0,87.0
466920,1,dpd,2.12,3.33,5.38
466920,2,dpd,1.95,3.0,4.51
466920,3,dpd,2.13,3.44,5.28
466920,4,dpd,2.4,3.74,5.4
466920,5,dpd,2.5,3.88,5.4
466920,6,dpd,2.36,3.8,5.16
466920,7,dpd,3.55,4.89,6.35
466920,8,dpd,3.16,4.7,6.04
466920,9,dpd,3.34,4.66,6.01
466920,10,dpd,2.7,4.04,5.58
466920,11,dpd,2.51,3.75,5.21
466920,12,dpd,2.21,3.57,5.48
466920,1,t_air,14.0,16.1,17.9
466920,2,t_air,14.5,16.6,18.5
466920,3,t_air,15.7,18.2,20.6
466920,4,t_air,19.2,21.4,23.7
466920,5,t_air,22.8,24.6,26.3
466920,6,t_air,25.6,27.1,28.6
466920,7,t_air,27.4,28.6,29.7
466920,8,t_air,27.2,28.4,29.5
466920,9,t_air,25.9,27.3,28.5
466920,10,t_air,22.7,24.0,25.6
466920,11,t_air,19.7,21.6,23.3
466920,12,t_air,15.5,17.6,19.5
466920,1,wind,1.3,2.3,3.3
466920,2,wind,1.0,2.0,3.1
466920,3,wind,1.0,1.9,3.1
466920,4,wind,0.9,1.6,2.9
466920,5,wind,1.0,1.6,2.7
466920,6,wind,0.9,1.3,1.8
466920,7,wind,1.0,1.4,2.1
466920,8,wind,1.0,1.5,2.2
466920,9,wind,1.3,2.0,3.0
466920,10,wind,1.68,2.5,3.4
466920,11,wind,1.6,2.6,3.5
466920,12,wind,1.5,2.5,3.4
C0T790,1,rh,63.0,84.0,96.0
C0T790,2,rh,65.0,84.0,95.0
C0T790,3,rh,64.0,85.0,95.0
C0T790,4,rh,72.0,90.0,96.0
C0T790,5,rh,86.0,95.0,98.0
C0T790,6,rh,86.0,96.0,99.0
C0T790,7,rh,82.0,96.0,99.0
C0T790,8,rh,92.0,97.0,99.0
C0T790,9,rh,92.0,97.0,99.0
C0T790,10,rh,82.0,96.0,99.0
C0T790,11,rh,74.0,94.0,99.0
C0T790,12,rh,73.0,91.0,99.0
C0T790,1,dpd,0.59,2.38,6.33
C0T790,2,dpd,0.71,2.35,5.98
C0T790,3,dpd,0.73,2.32,6.2
C0T790,4,dpd,0.57,1.56,4.81
C0T790,5,dpd,0.3,0.76,2.26
C0T790,6,dpd,0.15,0.62,2.24
