month,p_clear,p_clear_given_prev_clear,p_clear_given_prev_cloudy,p_any_of_2,p_any_of_3
1,0.471,0.669,0.303,0.348,0.412
2,0.513,0.718,0.299,0.358,0.411
3,0.415,0.672,0.224,0.299,0.36
4,0.447,0.695,0.244,0.322,0.374
5,0.302,0.606,0.164,0.229,0.285
6,0.367,0.626,0.223,0.283,0.341
7,0.505,0.773,0.217,0.326,0.366
8,0.41,0.622,0.269,0.303,0.351
9,0.403,0.65,0.239,0.307,0.37
10,0.465,0.717,0.242,0.326,0.371
11,0.545,0.738,0.313,0.383,0.439
12,0.487,0.641,0.329,0.36,0.42
