time,period,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2023,day,5.3,4.5,5.5,5.2,4.1,3.9,3.9,4.6,6.3,9.2,47.4
2023,night,0.0,0.4,0.8,17.5,6.5,4.5,4.6,4.6,4.8,8.6,47.8
2023,twilight,3.7,2.2,1.9,11.9,5.3,4.4,4.4,4.0,6.4,7.9,48.0
2024,day,3.1,4.8,3.8,3.7,3.8,3.8,4.6,4.6,6.1,8.2,53.5
2024,night,0.2,0.1,0.6,16.8,6.3,4.6,4.5,3.9,5.3,7.9,49.7
2024,twilight,4.2,2.2,2.2,10.8,5.4,3.2,4.0,4.9,4.4,8.1,50.7
2025,day,7.8,6.3,4.2,3.9,3.7,3.0,3.2,3.7,4.8,7.8,51.5
2025,night,10.9,3.6,2.6,6.5,3.7,3.4,3.0,3.5,3.6,7.9,51.5
2025,twilight,9.5,4.8,3.1,5.3,3.4,3.3,2.6,3.4,4.2,8.2,52.2
2026,day,6.5,4.6,3.9,3.7,4.1,3.3,5.1,4.2,5.5,8.2,50.9
2026,night,8.1,5.1,6.4,4.6,3.9,3.8,4.5,4.8,4.3,10.5,44.0
2026,twilight,7.6,4.5,5.5,4.1,2.6,3.9,3.8,5.5,5.6,12.0,45.0
