,p,n,n_years,ci_lo,ci_hi
1月,0.391,371,13,0.281,0.502
2月,0.311,360,14,0.233,0.39
3月,0.3,420,14,0.227,0.372
4月,0.272,364,14,0.208,0.335
5月,0.201,398,14,0.119,0.292
6月,0.243,378,14,0.176,0.329
7月,0.466,397,14,0.363,0.558
8月,0.339,375,14,0.249,0.446
9月,0.339,386,13,0.258,0.413
10月,0.445,389,13,0.322,0.585
11月,0.408,409,15,0.332,0.503
12月,0.336,428,15,0.266,0.416
