cat,n,rh_mean,rh_ge98,vis_mean,vis_lt1km
clear<=2,2038,83.19,0.04,20.66,0.0
cloudy>2,10747,91.39,0.22,13.77,0.01
code_-99.7,1056,98.74,0.78,0.19,1.0
null,6613,96.04,0.6,0.17,0.21
