time,1,2,3,4,5,6,7,8,9,10,11,12
2008,0.58,0.44,0.35,0.28,0.32,0.13,0.42,0.42,0.17,0.63,0.63,0.85
2009,0.89,0.75,0.42,0.2,0.69,0.27,0.42,0.44,0.58,0.56,0.77,0.58
2010,0.66,0.32,0.6,0.3,0.27,0.07,0.27,0.29,0.5,0.45,0.65,0.58
2011,0.52,0.59,0.39,0.6,0.23,0.22,0.23,0.27,0.5,0.48,0.33,0.47
2012,0.43,0.26,0.42,0.12,0.29,0.18,0.3,0.06,0.4,0.69,0.37,0.42
2013,0.77,0.75,0.47,0.22,0.23,0.38,0.39,0.31,0.59,0.81,0.32,0.55
2014,0.94,0.48,0.29,0.42,0.02,0.24,0.27,0.32,0.42,0.84,0.58,0.4
2015,0.69,0.32,0.32,0.4,0.18,0.5,0.21,0.16,0.43,0.4,0.8,0.55
2016,0.29,0.33,0.23,0.2,0.34,0.38,0.48,0.23,0.22,0.5,0.55,0.56
2017,0.63,0.38,0.21,0.37,0.19,0.16,0.23,0.5,0.55,0.55,0.33,0.68
2018,0.4,0.45,0.63,0.5,0.68,0.28,0.26,0.06,0.42,0.53,0.48,0.68
2019,0.66,0.68,0.35,0.18,0.11,0.08,0.15,0.15,0.53,0.81,0.6,0.65
2020,0.68,0.48,0.27,0.33,0.23,0.35,0.15,0.1,0.18,0.52,0.58,0.58
2021,0.79,0.84,0.46,0.48,0.47,0.23,0.19,0.1,0.27,0.4,0.47,0.68
all,0.64,0.5,0.39,0.33,0.3,0.25,0.28,0.24,0.41,0.58,0.53,0.59
