time,1,2,3,4,5,6,7,8,9,10,11,12
2008,0.42,0.4,0.4,0.23,0.26,0.13,0.23,0.29,0.12,0.52,0.38,0.55
2009,0.66,0.48,0.39,0.13,0.4,0.22,0.39,0.27,0.25,0.52,0.62,0.53
2010,0.52,0.43,0.71,0.33,0.42,0.0,0.31,0.24,0.27,0.37,0.52,0.44
2011,0.34,0.61,0.27,0.52,0.32,0.23,0.34,0.27,0.28,0.23,0.1,0.34
2012,0.37,0.28,0.55,0.1,0.26,0.07,0.28,0.13,0.32,0.52,0.23,0.42
2013,0.35,0.64,0.39,0.18,0.23,0.33,0.15,0.15,0.23,0.48,0.53,0.29
2014,0.6,0.29,0.29,0.3,0.11,0.15,0.18,0.34,0.28,0.68,0.55,0.31
2015,0.4,0.41,0.32,0.4,0.37,0.37,0.11,0.16,0.15,0.53,0.52,0.37
2016,0.11,0.22,0.21,0.15,0.2,0.17,0.23,0.03,0.13,0.45,0.53,0.52
2017,0.47,0.2,0.32,0.37,0.26,0.12,0.15,0.31,0.38,0.6,0.32,0.42
2018,0.24,0.14,0.44,0.3,0.35,0.12,0.18,0.06,0.2,0.44,0.43,0.34
2019,0.29,0.34,0.29,0.18,0.11,0.12,0.11,0.1,0.25,0.27,0.53,0.55
2020,0.66,0.28,0.24,0.22,0.16,0.13,0.18,0.15,0.22,0.39,0.47,0.15
2021,0.48,0.5,0.35,0.2,0.19,0.17,0.1,0.05,0.12,0.16,0.33,0.47
all,0.42,0.37,0.37,0.26,0.26,0.17,0.21,0.18,0.23,0.44,0.43,0.41
