time,1,2,3,4,5,6,7,8,9,10,11,12
2008,0.08,0.0,0.23,0.15,0.08,0.05,0.18,0.34,0.13,0.06,0.13,0.19
2009,0.16,0.14,0.15,0.13,0.32,0.22,0.29,0.19,0.25,0.03,0.03,0.06
2010,0.18,0.14,0.13,0.1,0.1,0.02,0.29,0.13,0.1,0.03,0.05,0.44
2011,0.0,0.18,0.0,0.22,0.1,0.1,0.23,0.13,0.13,0.03,0.1,0.0
2012,0.0,0.03,0.15,0.0,0.03,0.02,0.21,0.08,0.07,0.06,0.03,0.06
2013,0.05,0.04,0.16,0.0,0.03,0.07,0.11,0.27,0.02,0.0,0.13,0.06
2014,0.27,0.11,0.08,0.08,0.0,0.0,0.19,0.34,0.3,0.18,0.12,0.06
2015,0.18,0.0,0.08,0.13,0.05,0.12,0.19,0.08,0.17,0.05,0.07,0.0
2016,0.0,0.16,0.18,0.07,0.02,0.1,0.34,0.32,0.0,0.08,0.13,0.1
2017,0.11,0.11,0.1,0.32,0.05,0.05,0.31,0.39,0.25,0.03,0.07,0.06
2018,0.08,0.2,0.34,0.25,0.24,0.12,0.35,0.26,0.2,0.11,0.07,0.18
2019,0.08,0.07,0.08,0.12,0.06,0.1,0.16,0.32,0.15,0.19,0.13,0.08
2020,0.21,0.14,0.11,0.12,0.06,0.12,0.26,0.15,0.1,0.03,0.12,0.05
2021,0.23,0.41,0.15,0.13,0.05,0.0,0.19,0.21,0.47,0.1,0.1,0.15
all,0.12,0.12,0.14,0.13,0.09,0.08,0.24,0.23,0.17,0.07,0.09,0.11
