,p,n,n_years,ci_lo,ci_hi
1月,0.471,306,10,0.401,0.548
2月,0.513,277,10,0.418,0.606
3月,0.415,306,10,0.331,0.497
4月,0.447,295,10,0.402,0.498
5月,0.302,308,10,0.203,0.419
6月,0.367,300,10,0.297,0.453
7月,0.505,297,10,0.387,0.609
8月,0.41,295,10,0.3,0.519
9月,0.403,300,10,0.303,0.5
10月,0.465,310,10,0.361,0.568
11月,0.545,299,10,0.448,0.635
12月,0.487,304,10,0.407,0.56
